file;model;win;movements;attack_attempts;successful_attacks;pct_enemy_targeted;kills;avg_request_time
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-18-00-17.log;deepseek-v4-flash;0;8;7;7;1.0000;0;36320.86588235295
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-18-37-35.log;deepseek-v4-flash;0;7;6;6;1.0000;1;31333.4412
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-18-53-33.log;deepseek-v4-flash;1;10;9;9;1.0000;1;33363.73392857143
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-19-31-41.log;deepseek-v4-flash;0;11;10;10;0.6000;2;31573.174385964914
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-20-08-47.log;deepseek-v4-flash;1;14;10;10;0.9000;0;29017.015
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-20-40-46.log;deepseek-v4-flash;1;10;9;9;1.0000;1;28023.54
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-21-00-59.log;deepseek-v4-flash;0;9;8;8;1.0000;0;27456.083200000005
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-21-15-15.log;deepseek-v4-flash;0;6;7;7;0.7143;0;28441.451250000002
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-21-39-02.log;deepseek-v4-flash;0;5;8;8;1.0000;1;25996.8995
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-21-49-35.log;deepseek-v4-flash;1;15;11;11;0.8182;0;27350.96076923077
